getTableName	value	isNullable	value	getPrecision	value	getSchemaName	value	getColumnClassName	value	getCatalogName	value	getColumnDisplaySize	value	getColumnTypeName	value	getColumnName	value	getColumnLabel	value	getColumnType	value	getScale	value	
fieldStr: getTableName	schema_version	isNullable	0	getPrecision	11	getSchemaName		getColumnClassName	java.lang.Integer	getCatalogName	dbadmin	getColumnDisplaySize	11	getColumnTypeName	INT	getColumnName	installed_rank	getColumnLabel	installed_rank	getColumnType	4	getScale	0	
fieldStr: getTableName	schema_version	isNullable	1	getPrecision	50	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	dbadmin	getColumnDisplaySize	50	getColumnTypeName	VARCHAR	getColumnName	version	getColumnLabel	version	getColumnType	12	getScale	0	
fieldStr: getTableName	schema_version	isNullable	0	getPrecision	200	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	dbadmin	getColumnDisplaySize	200	getColumnTypeName	VARCHAR	getColumnName	description	getColumnLabel	description	getColumnType	12	getScale	0	
fieldStr: getTableName	schema_version	isNullable	0	getPrecision	20	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	dbadmin	getColumnDisplaySize	20	getColumnTypeName	VARCHAR	getColumnName	type	getColumnLabel	type	getColumnType	12	getScale	0	
fieldStr: getTableName	schema_version	isNullable	0	getPrecision	1000	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	dbadmin	getColumnDisplaySize	1000	getColumnTypeName	VARCHAR	getColumnName	script	getColumnLabel	script	getColumnType	12	getScale	0	
fieldStr: getTableName	schema_version	isNullable	1	getPrecision	11	getSchemaName		getColumnClassName	java.lang.Integer	getCatalogName	dbadmin	getColumnDisplaySize	11	getColumnTypeName	INT	getColumnName	checksum	getColumnLabel	checksum	getColumnType	4	getScale	0	
fieldStr: getTableName	schema_version	isNullable	0	getPrecision	100	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	dbadmin	getColumnDisplaySize	100	getColumnTypeName	VARCHAR	getColumnName	installed_by	getColumnLabel	installed_by	getColumnType	12	getScale	0	
fieldStr: getTableName	schema_version	isNullable	0	getPrecision	19	getSchemaName		getColumnClassName	java.sql.Timestamp	getCatalogName	dbadmin	getColumnDisplaySize	19	getColumnTypeName	TIMESTAMP	getColumnName	installed_on	getColumnLabel	installed_on	getColumnType	93	getScale	0	
fieldStr: getTableName	schema_version	isNullable	0	getPrecision	11	getSchemaName		getColumnClassName	java.lang.Integer	getCatalogName	dbadmin	getColumnDisplaySize	11	getColumnTypeName	INT	getColumnName	execution_time	getColumnLabel	execution_time	getColumnType	4	getScale	0	
fieldStr: getTableName	schema_version	isNullable	0	getPrecision	1	getSchemaName		getColumnClassName	java.lang.Boolean	getCatalogName	dbadmin	getColumnDisplaySize	1	getColumnTypeName	TINYINT	getColumnName	success	getColumnLabel	success	getColumnType	-7	getScale	0	
fieldStr: getTableName	account	isNullable	0	getPrecision	11	getSchemaName		getColumnClassName	java.lang.Integer	getCatalogName	agent_platform	getColumnDisplaySize	11	getColumnTypeName	INT	getColumnName	id	getColumnLabel	id	getColumnType	4	getScale	0	
fieldStr: getTableName	account	isNullable	0	getPrecision	20	getSchemaName		getColumnClassName	java.math.BigInteger	getCatalogName	agent_platform	getColumnDisplaySize	20	getColumnTypeName	BIGINT UNSIGNED	getColumnName	amount	getColumnLabel	amount	getColumnType	-5	getScale	0	
fieldStr: getTableName	account	isNullable	0	getPrecision	20	getSchemaName		getColumnClassName	java.math.BigInteger	getCatalogName	agent_platform	getColumnDisplaySize	20	getColumnTypeName	BIGINT UNSIGNED	getColumnName	settle_amount	getColumnLabel	settle_amount	getColumnType	-5	getScale	0	
fieldStr: getTableName	account	isNullable	0	getPrecision	20	getSchemaName		getColumnClassName	java.math.BigInteger	getCatalogName	agent_platform	getColumnDisplaySize	20	getColumnTypeName	BIGINT UNSIGNED	getColumnName	bail_amount	getColumnLabel	bail_amount	getColumnType	-5	getScale	0	
fieldStr: getTableName	account	isNullable	0	getPrecision	45	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	45	getColumnTypeName	VARCHAR	getColumnName	agent_no	getColumnLabel	agent_no	getColumnType	12	getScale	0	
fieldStr: getTableName	account	isNullable	0	getPrecision	50	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	50	getColumnTypeName	VARCHAR	getColumnName	account_no	getColumnLabel	account_no	getColumnType	12	getScale	0	
fieldStr: getTableName	account	isNullable	0	getPrecision	19	getSchemaName		getColumnClassName	java.sql.Timestamp	getCatalogName	agent_platform	getColumnDisplaySize	19	getColumnTypeName	DATETIME	getColumnName	created_at	getColumnLabel	created_at	getColumnType	93	getScale	0	
fieldStr: getTableName	account	isNullable	0	getPrecision	19	getSchemaName		getColumnClassName	java.sql.Timestamp	getCatalogName	agent_platform	getColumnDisplaySize	19	getColumnTypeName	DATETIME	getColumnName	updated_at	getColumnLabel	updated_at	getColumnType	93	getScale	0	
fieldStr: getTableName	accounttransaction	isNullable	0	getPrecision	11	getSchemaName		getColumnClassName	java.lang.Integer	getCatalogName	agent_platform	getColumnDisplaySize	11	getColumnTypeName	INT	getColumnName	id	getColumnLabel	id	getColumnType	4	getScale	0	
fieldStr: getTableName	accounttransaction	isNullable	0	getPrecision	50	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	50	getColumnTypeName	VARCHAR	getColumnName	serial_no	getColumnLabel	serial_no	getColumnType	12	getScale	0	
fieldStr: getTableName	accounttransaction	isNullable	0	getPrecision	50	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	50	getColumnTypeName	VARCHAR	getColumnName	transfer_command_code	getColumnLabel	transfer_command_code	getColumnType	12	getScale	0	
fieldStr: getTableName	accounttransaction	isNullable	0	getPrecision	15	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	15	getColumnTypeName	VARCHAR	getColumnName	direction	getColumnLabel	direction	getColumnType	12	getScale	0	
fieldStr: getTableName	accounttransaction	isNullable	0	getPrecision	15	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	15	getColumnTypeName	VARCHAR	getColumnName	transfer_type	getColumnLabel	transfer_type	getColumnType	12	getScale	0	
fieldStr: getTableName	accounttransaction	isNullable	0	getPrecision	20	getSchemaName		getColumnClassName	java.math.BigInteger	getCatalogName	agent_platform	getColumnDisplaySize	20	getColumnTypeName	BIGINT UNSIGNED	getColumnName	transfer_amount	getColumnLabel	transfer_amount	getColumnType	-5	getScale	0	
fieldStr: getTableName	accounttransaction	isNullable	0	getPrecision	20	getSchemaName		getColumnClassName	java.math.BigInteger	getCatalogName	agent_platform	getColumnDisplaySize	20	getColumnTypeName	BIGINT UNSIGNED	getColumnName	pre_amount	getColumnLabel	pre_amount	getColumnType	-5	getScale	0	
fieldStr: getTableName	accounttransaction	isNullable	0	getPrecision	20	getSchemaName		getColumnClassName	java.math.BigInteger	getCatalogName	agent_platform	getColumnDisplaySize	20	getColumnTypeName	BIGINT UNSIGNED	getColumnName	amount	getColumnLabel	amount	getColumnType	-5	getScale	0	
fieldStr: getTableName	accounttransaction	isNullable	0	getPrecision	25	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	25	getColumnTypeName	VARCHAR	getColumnName	remark	getColumnLabel	remark	getColumnType	12	getScale	0	
fieldStr: getTableName	accounttransaction	isNullable	1	getPrecision	19	getSchemaName		getColumnClassName	java.sql.Timestamp	getCatalogName	agent_platform	getColumnDisplaySize	19	getColumnTypeName	DATETIME	getColumnName	transfer_time	getColumnLabel	transfer_time	getColumnType	93	getScale	0	
fieldStr: getTableName	accounttransaction	isNullable	0	getPrecision	45	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	45	getColumnTypeName	VARCHAR	getColumnName	agent_no	getColumnLabel	agent_no	getColumnType	12	getScale	0	
